PO_ID,EXTERNAL_ID,ABIS_STOCK,CATALOG_NUMBER,ASIN,TITLE,LIST_PRICE,DISCOUNT,COST,SUBMITTED_QTY,FILL_QTY,CONFIRM_QTY,CANCEL_QTY,RCVD_QTY,ESD,EDD,ACK_STATE,PREV_ERROR,VEN_CODE,FC,CONDITION,PO_DATE,START_SHIP,END_SHIP,IS_BACKORDER,FREIGHT_TERM,PAY_TERMS,PO_SPEC_INSTR,PO_COMMENTS
Order/PO Number,External ID,Model Number,Catalogue Number,ASIN,Title,List Price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Expected Ship Date,Expected Delivery Date,Availability Status,Error From Previous Upload Attempt,Vendor Code,Fulfillment Center,Condition,Order Date,Earliest Ship,Latest Ship,Is Backorder,Freight Terms,Payment Method,Special Instructions,Comments
R7995180,0883629488479,,FMFDVDATHENS,B001MBTR1O,God's Lair God\'s Lair: Athens (REGION 1) (NTSC),£24.95,35%,£16.22,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488561,,NWGDVD186,B001MBTR1Y,Nature Wonders  SERENGETI (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488578,,NWGDVD187,B001MBTR2I,Nature Wonders  COLORADO NATIONAL MONUMENT (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488585,,NWGDVD188,B001MBTR2S,Nature Wonders  KRIMMLER WASSERFALLE (REGION 1) (NTSC),£9.97,35%,£6.48,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488592,,NWGDVD189,B001MBTR32,Nature Wonders  SELOUS GAME RESERVE (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488608,,NWGDVD190,B001MBTR3C,Nature Wonders  BLACK CANYON OF THE GUNNISON (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488615,,NWGDVD191,B001MBTR3M,Nature Wonders  BADLANDS (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488622,,NWGDVD192,B001MBTR3W,Nature Wonders  LAKE MANYARA (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488639,,NWGDVD193,B001MBTR46,Nature Wonders THE GIANT TREES OF ALISHAN (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629488646,,NWGDVD195,B001MBTR4Q,Nature Wonders  Arusha Park (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597102,,CTCDVD494890,B001MBTRJQ,Great Cities of the World  The Ultimate Guide to the Best of Buenos Aries (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597416,,LSDVD105,B001MBTRK0,Let's Shop  Singapore (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597423,,LSDVD107,B001MBTRKU,Let's Shop  Abu Dhabi United Arab Emirates (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597430,,LSDVD108,B001MBTRLE,Let's Shop  Montreal Canada (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597461,,LSDVD111,B001MBTRLO,Let's Shop  Nice France (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597485,,LSDVD113,B001MBTRMI,Let's Shop  Arab Gulf States Oman & Qatar (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597492,,LSDVD201,B001MBTRN2,Let's Shop  Buenos Aires Argentina (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597546,,LSDVD206,B001MBTRNC,Let's Shop  Boston (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629597584,,LSDVD210,B001MBTRNW,Let's Shop  Baltic States Part 1 (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629627786,,NWGDVD194,B001MBTRWS,Nature Wonders  ROCKY MOUNTAIN NATIONAL PARK (REGION 1) (NTSC),£14.95,35%,£9.72,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061003370,,WWDVDICE,B001OCBYXA,Europe's Wild Gem Iceland -- It's so much more than ice! (REGION 1) (NTSC),£29.95,35%,£19.47,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004827,,WTFDVDSCOT,B001OCCHYU,Scotland (REGION 1) (NTSC),£24.95,35%,£16.22,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004834,,WTFDVDTAH,B001OCE5TK,Tahiti and Fiji (REGION 1) (NTSC),£24.95,35%,£16.22,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004858,,WTFDVDMEX,B001OCF28S,The Other side of Mexico (REGION 1) (NTSC),£24.95,35%,£16.22,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0883629693781,,WTFDVDBESTOF,B001ODK3P4,The Best of Bavaria (REGION 1) (NTSC),£24.95,35%,£16.22,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061004797,,WTFDVDBAV,B001ODK4E4,Bavaria and the Black Forest (REGION 1) (NTSC),£24.95,35%,£16.22,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
R7995180,0879061009051,,VSPDVDCOFFEE,B001ODNBXU,Coffee Culture USA (REGION 1) (NTSC),£19.95,35%,£12.97,1,,1,0,0,4-Feb-2009,4. Februar 2009,AC - Accepted and shipped,,TRAEF,LTN1,Unconfirmed,1-Feb-2009,1-Feb-2009,2-Feb-2009,No,Prepaid,Consignment,,
