ISBN/UPC	Manufacturer	Product Name	Referring Product URL	Condition	Quantity	Price	Shipping costs
9416541113412	Dove Video Productions	(Import) New Zealand Kiwi Country	http://www.travelvideostore.com/product_info.php?products_id=454&ref=115122	New	989	29.95	0.25
835754000101	DiscOdyssey	The Key West DVD - Bring The Island Home on DVD	http://www.travelvideostore.com/product_info.php?products_id=1832&ref=115122	New	14	16.95	0.30
885444277030	Sandy Mortimer	 Ireland Celtic Myths & Splendors	http://www.travelvideostore.com/product_info.php?products_id=1833&ref=115122	New	1004	19.95	0.30
801273000199	Spectra Video	 Las Vegas The City of Excitement	http://www.travelvideostore.com/product_info.php?products_id=1834&ref=115122	New	35	14.95	0.30
033937033438	International Video Network	 Paris 	http://www.travelvideostore.com/product_info.php?products_id=1157&ref=115122	New	4	14.95	0.30
033937033513	International Video Network	 Istanbul 	http://www.travelvideostore.com/product_info.php?products_id=333&ref=115122	New	82	14.95	0.30
033937033414	International Video Network	 Bangkok 	http://www.travelvideostore.com/product_info.php?products_id=1155&ref=115122	New	21	14.95	0.30
033937033421	International Video Network	 London 	http://www.travelvideostore.com/product_info.php?products_id=1156&ref=115122	New	20	14.95	0.30
033937032950	Back Door Productions	PBS's Rick Steves' Greece, Turkey, Israel & Egypt 	http://www.travelvideostore.com/product_info.php?products_id=889&ref=115122	New	3	19.95	0.30
759111922007	Video Vacation	Arthur Frommer's Best Places to Retire Florida, Carolinas, Costa Rica, Mexico, Arizona	http://www.travelvideostore.com/product_info.php?products_id=497&ref=115122	New	3	3.47	0.50
008941000660	International Video Projects	 Travel Florida State and National Parks	http://www.travelvideostore.com/product_info.php?products_id=1728&ref=115122	New	4	3.47	0.50
008941000717	International Video Projects	 Miami 	http://www.travelvideostore.com/product_info.php?products_id=1731&ref=115122	New	4	3.47	0.50
008941000714	International Video Projects	 Orlando and Central Florida 	http://www.travelvideostore.com/product_info.php?products_id=1732&ref=115122	New	4	3.47	0.50
008941000653	International Video Projects	 Florida Keys, The 	http://www.travelvideostore.com/product_info.php?products_id=1736&ref=115122	New	1	3.47	0.50
008941000899	International Video Projects	 Grand Prix of Miami, The The First Decade	http://www.travelvideostore.com/product_info.php?products_id=1738&ref=115122	New	2	3.47	0.50
008941000875	International Video Projects	A VIP Tour of Miami's MetroZoo 	http://www.travelvideostore.com/product_info.php?products_id=1741&ref=115122	New	1	3.47	0.50
008941001018	International Video Projects	 Florida 	http://www.travelvideostore.com/product_info.php?products_id=1752&ref=115122	New	3	3.47	0.50
008941001063	International Video Projects	 John Pennekamp Coral Reef State Park 	http://www.travelvideostore.com/product_info.php?products_id=1754&ref=115122	New	2	3.47	0.50
008941000783	International Video Projects	 Dive Miami 	http://www.travelvideostore.com/product_info.php?products_id=1743&ref=115122	New	3	3.47	0.50
008941000769	International Video Projects	 Dive Cayman 	http://www.travelvideostore.com/product_info.php?products_id=1746&ref=115122	New	1	3.47	0.50
008941000776	International Video Projects	 Dive Key West 	http://www.travelvideostore.com/product_info.php?products_id=1747&ref=115122	New	2	3.47	0.50
008941000820	International Video Projects	 Fish Key West 	http://www.travelvideostore.com/product_info.php?products_id=1748&ref=115122	New	2	3.47	0.50
008941001049	International Video Projects	 Fish Guatemala 	http://www.travelvideostore.com/product_info.php?products_id=1751&ref=115122	New	3	3.47	0.50
008941000998	International Video Projects	 Tales of Cortez 	http://www.travelvideostore.com/product_info.php?products_id=1753&ref=115122	New	2	3.47	0.50
008941001070	International Video Projects	 Bahia Honda State Park 	http://www.travelvideostore.com/product_info.php?products_id=1755&ref=115122	New	1	3.47	0.50
759741930236	City Productions Home Video	A Tour of Little Rock and Hot Springs Arkansas	http://www.travelvideostore.com/product_info.php?products_id=368&ref=115122	New	10	3.47	0.50
880517000294	SJB Productions	 Dive Adventures 	http://www.travelvideostore.com/product_info.php?products_id=1191&ref=115122	New	8	9.99	0.30
880517002199	SJB Productions	 Grenada Spice Island of the Caribbean	http://www.travelvideostore.com/product_info.php?products_id=1199&ref=115122	New	7	8.99	0.30
033937080555	Reader's Digest	 How Great Thou Art & Climb Ev'ry Mountain 	http://www.travelvideostore.com/product_info.php?products_id=3493&ref=115122	New	3	14.99	0.25
4026643020171	Galileo Medien AG	 Paris The Internet TravelGuide	http://www.travelvideostore.com/product_info.php?products_id=3495&ref=115122	New	1	24.95	0.50
021442043431	Hearst Corporation	 Las Vegas 	http://www.travelvideostore.com/product_info.php?products_id=509&ref=115122	New	1	3.47	0.50
041048005190	TravelView International	Volume 20 Yacht Chartering Turquise Coast (Turkey/Istanbul) & The British Virgin Islands	http://www.travelvideostore.com/product_info.php?products_id=1276&ref=115122	New	2	3.47	0.50
008506001965	TravelView International	 SuperClubs 1999 Edition	http://www.travelvideostore.com/product_info.php?products_id=1290&ref=115122	New	4	3.47	0.50
041048005213	TravelView International	Volume 22 Las Vegas 	http://www.travelvideostore.com/product_info.php?products_id=1312&ref=115122	New	2	3.47	0.50
008506005789	TravelView International	 Florida 	http://www.travelvideostore.com/product_info.php?products_id=1268&ref=115122	New	1	3.47	0.50
053939551440	CNN	 War in the Gulf 	http://www.travelvideostore.com/product_info.php?products_id=364&ref=115122	New	1	6.96	3.00
