Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
8/1/2010,5yS0zPgtGfM,Culinary Travels S2E226 - Turks & Caicos Island Paradise,1,,YouTube,1.1
12/1/2010,5ZlLIApB8bQ,Vista Point S1E178 - UNITED ARAB EMIRATES,1,,YouTube,1.1
10/1/2010,-61S7jnNg5M,Let's Shop S2E204 - Toronto Canada,1,,YouTube,1.1
12/1/2010,63oQGbSlzAQ,Vista Point S1E223 - AMMAN Jordan,1,,YouTube,1.1
9/1/2010,69UapwFRV2U,Discovering Provence S1E102 - Marseille and Toulon,1,,YouTube,1.1
11/1/2010,6a8kD1b0hsA,Vista Point S1E160 - BHAKTAPUR Nepal,1,,YouTube,1.1
4/1/2010,6gKUiL6BusY,Corsica France,1,,YouTube,1.1
5/1/2010,6gKUiL6BusY,Cities of the World S1E14 - Corsica France,1,,YouTube,1.1
3/1/2010,6gSFKKEdshI,CAPE TOWN South Africa,2,,YouTube,0.55
1/1/2010,6gSFKKEdshI,Skimming the Surface,1,,YouTube,1.1
2/1/2010,6gSFKKEdshI,CAPE TOWN South Africa,1,,YouTube,1.1
12/1/2010,6hTrq4geKRI,7 Days - Bahamas,1,,YouTube,2.2
10/1/2010,6IrCOWK2UiY,Equitrekking S2E206 - Irish Countryside,1,,YouTube,1.1
11/1/2010,6IrCOWK2UiY,Equitrekking S2E206 - Irish Countryside,1,,YouTube,1.1
4/1/2010,6NqyNN9IBrA,A Bare Necessities Nude Cruise,1,,YouTube,2.75
7/1/2010,6NqyNN9IBrA,The Nude Traveler S1E104 - A Bare Necessities Nude Cruise,1,,YouTube,2.75
8/1/2010,6NqyNN9IBrA,The Nude Traveler S1E104 - A Bare Necessities Nude Cruise,1,,YouTube,2.75
10/1/2010,6NqyNN9IBrA,The Nude Traveler S1E104 - A Bare Necessities Nude Cruise,1,,YouTube,2.75
11/1/2010,6NqyNN9IBrA,The Nude Traveler S1E104 - A Bare Necessities Nude Cruise,2,,YouTube,2.75
12/1/2010,6NqyNN9IBrA,The Nude Traveler S1E104 - A Bare Necessities Nude Cruise,1,,YouTube,2.75
5/1/2010,6Sk25F-c9nA,On Tour S1E148 - ANTARCTICA,1,,YouTube,1.1
11/1/2010,6zfY7SFPS-0,7 Days S1E120 - ITALIA Italy,1,,YouTube,1.1
11/1/2010,7_vHUHVs7pM,Vista Point S1E192 - CORDOBA Spain,1,,YouTube,1.1
8/1/2010,786jqIhJXv8,World's Greatest Festivals S1E49464 - The Ultimate Guide to Running of The Bulls Festival,1,,YouTube,1.1
8/1/2010,7I3gLF97dUU,Culinary Travels S1E108 - Chilean Wine Trailblazers,1,,YouTube,1.1
3/1/2010,7I7v8VG039M,Aquarium In A Box,1,,YouTube,1.1
12/1/2010,7IUz363BfdI,"Modern Times Wonders S1E109 - TOUR d'EIFFEL Paris, France",1,,YouTube,1.1
12/1/2010,7JRNLDFso4U,"COSMOS GLOBAL DOCUMENTARIES S1E149 - East Africa Kenya, Tanzania",1,,YouTube,2.2
8/1/2010,7nnEaBX0rqQ,7 Days S1E117 - NEW ENGLAND,1,,YouTube,1.1
9/1/2010,7NxhHby-ZUk,Vista Point S1E185 - BERLIN Germany,1,,YouTube,1.1
10/1/2010,7OJ-Tx8iLz8,"Weekend Explorer S3E310 - Hobart, Tasmania",1,,YouTube,1.1
4/1/2010,89FmmoJwbUc,JOHANNESBURG South Africa,1,,YouTube,1.1
11/1/2010,89FmmoJwbUc,Vista Point S1E125 - JOHANNESBURG South Africa,2,,YouTube,1.1
9/1/2010,89Iw5h--Geg,Global Treasures S1E1057 - VERSAILLES France,1,,YouTube,1.1
10/1/2010,89Iw5h--Geg,Global Treasures S1E1057 - VERSAILLES France,1,,YouTube,1.1
11/1/2010,89Iw5h--Geg,Global Treasures S1E1057 - VERSAILLES France,2,,YouTube,1.1
12/1/2010,89Iw5h--Geg,Global Treasures S1E1057 - VERSAILLES France,2,,YouTube,1.1
3/1/2010,8CMNfuOmnv4,A Bare Necessities Mediterranean Nude Cruise,1,,YouTube,2.75
6/1/2010,8CMNfuOmnv4,The Nude Traveler S1E105 - A Bare Necessities Mediterranean Nude Cruise,1,,YouTube,2.75
7/1/2010,8CMNfuOmnv4,The Nude Traveler S1E105 - A Bare Necessities Mediterranean Nude Cruise,2,,YouTube,2.75
9/1/2010,8CMNfuOmnv4,The Nude Traveler S1E105 - A Bare Necessities Mediterranean Nude Cruise,1,,YouTube,2.75
11/1/2010,8CMNfuOmnv4,The Nude Traveler S1E105 - A Bare Necessities Mediterranean Nude Cruise,1,,YouTube,2.75
12/1/2010,8CMNfuOmnv4,The Nude Traveler S1E105 - A Bare Necessities Mediterranean Nude Cruise,3,,YouTube,2.75
9/1/2010,8D_-619eMx0,"Weekend Explorer S2E201 - Santa Fe, New Mexico",1,,YouTube,1.1
