"Member ID","163145"
"Legacy Account ID",""
"Business Name","Travel Video Store"
"Address","5420 Boran Dr"
"","Tampa FL  33610"
"","United States"
"Date for Report","00:23 PST Jan  5 2015 "
"Date Range","12/01/14 to 01/01/15"
""
""
"Sales Channel","Sales Date","External SKU","UPC/EAN","TitleID","Title","Units","HAP/Sales Price","HAP/Sales Price Total","Extended Price %","Extended Price per Unit","Extended Price Total","Cost per Unit","Cost Total","Publisher Compensation per Unit","Publisher Compensation Total"
"Amazon UK Retail","04/12/2014","244892","883629958538","266562","GlobeRiders  Silk Road Adventure - A Motorcycle Journey Istanbul, Turkey to Xian, China (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","15/12/2014","244892","883629958538","266562","GlobeRiders  Silk Road Adventure - A Motorcycle Journey Istanbul, Turkey to Xian, China (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","18/12/2014","244892","883629958538","266562","GlobeRiders  Silk Road Adventure - A Motorcycle Journey Istanbul, Turkey to Xian, China (NTSC)","2","7.41","14.82","50%","3.70","7.40","0.00","0.00","3.70","7.40"
"Amazon UK Retail","07/12/2014","214874","883629958569","266565","Cairns The Gem of The Tropics (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","18/12/2014","236448","883629958798","266588","Florida Vacation & Travel Video (NTSC)","1","7.41","7.41","50%","3.70","3.70","0.00","0.00","3.70","3.70"
"Amazon UK Retail","09/12/2014","","883629729862","270142","Egyptmania The Egyptian Museum in Cairo (PAL)","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","14/12/2014","","883629729879","270315","Legacy of Ancient Civilizations Ancient Arabia (PAL)","1","8.99","8.99","50%","4.49","4.49","0.00","0.00","4.49","4.49"
"Amazon UK Retail","14/12/2014","","883629733265","270638","Legacy of Ancient Civilizations Carthage and the Phoenicians (PAL)","2","8.99","17.98","50%","4.49","8.98","0.00","0.00","4.49","8.98"
"Amazon UK Retail","05/12/2014","7DYDVD171","885444187278","277780","7 Days Patagonia","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
"Amazon UK Retail","06/12/2014","","885444208034","278460","Wild Alaska","1","11.99","11.99","50%","5.99","5.99","0.00","0.00","5.99","5.99"
