UPC,product url,price,condition,category,format,stock,shipping rate,shipping weight
028048220037,http://www.travelvideostore.com/product_info.php?products_id=335&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
028048247034,http://www.travelvideostore.com/product_info.php?products_id=1170&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
028048230036,http://www.travelvideostore.com/product_info.php?products_id=1176&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
028048236038,http://www.travelvideostore.com/product_info.php?products_id=1180&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
028048235031,http://www.travelvideostore.com/product_info.php?products_id=1162&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
028048239039,http://www.travelvideostore.com/product_info.php?products_id=1165&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
028048243036,http://www.travelvideostore.com/product_info.php?products_id=1168&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
028048241032,http://www.travelvideostore.com/product_info.php?products_id=1167&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
6938922170034,http://www.travelvideostore.com/product_info.php?products_id=3497&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
017078401028,http://www.travelvideostore.com/product_info.php?products_id=3525&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
017078986426,http://www.travelvideostore.com/product_info.php?products_id=3526&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
017078926521,http://www.travelvideostore.com/product_info.php?products_id=3528&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
764315066235,http://www.travelvideostore.com/product_info.php?products_id=3558&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
764315073134,http://www.travelvideostore.com/product_info.php?products_id=3552&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
764315070331,http://www.travelvideostore.com/product_info.php?products_id=3555&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
764315066136,http://www.travelvideostore.com/product_info.php?products_id=3559&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
764315066037,http://www.travelvideostore.com/product_info.php?products_id=3561&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
764315065832,http://www.travelvideostore.com/product_info.php?products_id=3563&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
646032024395,http://www.travelvideostore.com/product_info.php?products_id=3593&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
693892210000,http://www.travelvideostore.com/product_info.php?products_id=3620&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.60
693892214008,http://www.travelvideostore.com/product_info.php?products_id=3621&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.60
008941001155,http://www.travelvideostore.com/product_info.php?products_id=3628&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001162,http://www.travelvideostore.com/product_info.php?products_id=3629&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001131,http://www.travelvideostore.com/product_info.php?products_id=3634&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001353,http://www.travelvideostore.com/product_info.php?products_id=3652&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001230,http://www.travelvideostore.com/product_info.php?products_id=3657&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001421,http://www.travelvideostore.com/product_info.php?products_id=3658&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001346,http://www.travelvideostore.com/product_info.php?products_id=3660&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001308,http://www.travelvideostore.com/product_info.php?products_id=3662&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001469,http://www.travelvideostore.com/product_info.php?products_id=3663&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001483,http://www.travelvideostore.com/product_info.php?products_id=3664&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001360,http://www.travelvideostore.com/product_info.php?products_id=3665&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
008941001117,http://www.travelvideostore.com/product_info.php?products_id=3667&ref=115123,21.95,New,Movies,DVD,Y,$0.00,0.32
012236114567,http://www.travelvideostore.com/product_info.php?products_id=3679&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
012236901839,http://www.travelvideostore.com/product_info.php?products_id=3682&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
794054377736,http://www.travelvideostore.com/product_info.php?products_id=3687&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
017078601329,http://www.travelvideostore.com/product_info.php?products_id=3702&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
8594016791868,http://www.travelvideostore.com/product_info.php?products_id=3697&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
8594016791875,http://www.travelvideostore.com/product_info.php?products_id=3699&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
033937026621,http://www.travelvideostore.com/product_info.php?products_id=3713&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
799759053909,http://www.travelvideostore.com/product_info.php?products_id=3754&ref=115123,24.95,New,Movies,DVD,Y,$0.00,0.32
883629596501,http://www.travelvideostore.com/product_info.php?products_id=3762&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596518,http://www.travelvideostore.com/product_info.php?products_id=3763&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596525,http://www.travelvideostore.com/product_info.php?products_id=3764&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596532,http://www.travelvideostore.com/product_info.php?products_id=3765&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
883629596549,http://www.travelvideostore.com/product_info.php?products_id=3766&ref=115123,149.00,New,Movies,DVD,Y,$0.00,0.32
